CATEGORY_NAME,CONTENT_ID,CONTENT_NAME,CONTENT_TYPE,DEPTH,EXPIRE_DATE,LAST_UPDATED_DATE,PUBLISH_DATE,STATUS,SUMMARY_TEXT,TEXT,URL
2019 Reports (Weekly),725065,"March 4, 2019 to March 10, 2019 Issued Residential Permits",B,2,,2019-03-11 15:57:54 UTC,2019-03-11 15:57:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/725065
2019 Reports (Weekly),725692,"March 11, 2019 to March 17, 2019 Issued Residential Permits",B,2,,2019-03-18 17:36:18 UTC,2019-03-18 17:35:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/725692
2019 Reports (Weekly),725693,"March 11, 2019 to March 17, 2019 Residential Permit Intakes",B,2,,2019-03-18 17:36:58 UTC,2019-03-18 17:36:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/725693
2019 Reports (Weekly),725696,"March 11, 2019 to March 17, 2019 Issued Facility Permits",B,2,,2019-03-18 17:41:27 UTC,2019-03-18 17:40:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/725696
2019 Reports (Weekly),725697,"March 11, 2019 to March 17, 2019 Facility Permit Intakes",B,2,,2019-03-18 17:41:50 UTC,2019-03-18 17:41:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/725697
2019 Reports (Weekly),725698,"March 11, 2019 to March 17, 2019 Land Use Review Intakes",B,2,,2019-03-18 17:42:07 UTC,2019-03-18 17:41:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/725698
2019 Reports (Weekly),725699,"March 11, 2019 to March 17, 2019 Issued Commercial Building Permits",B,2,,2019-03-18 17:42:28 UTC,2019-03-18 17:42:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/725699
2019 Reports (Weekly),725700,"March 11, 2019 to March 17, 2019 Commercial Building Permit Intakes",B,2,,2019-03-18 17:42:44 UTC,2019-03-18 17:42:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/725700
2019 Reports (Weekly),726383,"March 18, 2019 to March 24, 2019 Issued Residential Permits",B,2,,2019-03-25 16:00:59 UTC,2019-03-25 15:57:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/726383
2019 Reports (Weekly),726384,"March 18, 2019 to March 24, 2019 Residential Permit Intakes",B,2,,2019-03-25 16:01:33 UTC,2019-03-25 16:01:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/726384
2019 Reports (Weekly),726385,"March 18, 2019 to March 24, 2019 Issued Facility Permits",B,2,,2019-03-25 16:02:08 UTC,2019-03-25 16:01:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/726385
2019 Reports (Weekly),726386,"March 18, 2019 to March 24, 2019 Facility Permit Intakes",B,2,,2019-03-25 16:02:33 UTC,2019-03-25 16:02:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/726386
2019 Reports (Weekly),726387,"March 18, 2019 to March 24, 2019 Land Use Review Intakes",B,2,,2019-03-25 16:02:48 UTC,2019-03-25 16:02:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/726387
2019 Reports (Weekly),726388,"March 18, 2019 to March 24, 2019 Issued Commercial Building Permits",B,2,,2019-03-25 16:03:07 UTC,2019-03-25 16:02:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/726388
2019 Reports (Weekly),726389,"March 18, 2019 to March 24, 2019 Commercial Building Permit Intakes",B,2,,2019-03-25 16:03:25 UTC,2019-03-25 16:03:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/726389
2019 Reports (Weekly),727342,"March 25, 2019 to March 31, 2019 Commercial Building Permit Intakes",B,2,,2019-04-01 16:10:30 UTC,2019-04-01 16:09:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/727342
2019 Reports (Weekly),727343,"March 25, 2019 to March 31, 2019 Issued Commercial Building Permits",B,2,,2019-04-01 16:12:06 UTC,2019-04-01 16:11:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/727343
2019 Reports (Weekly),727344,"March 25, 2019 to March 31, 2019 Land Use Review Intakes",B,2,,2019-04-01 16:12:23 UTC,2019-04-01 16:12:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/727344
2019 Reports (Weekly),727345,"March 25, 2019 to March 31, 2019 Facility Permit Intakes",B,2,,2019-04-01 16:12:40 UTC,2019-04-01 16:12:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/727345
2019 Reports (Weekly),727346,"March 25, 2019 to March 31, 2019 Issued Facility Permits",B,2,,2019-04-01 16:12:57 UTC,2019-04-01 16:12:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/727346
2019 Reports (Weekly),727347,"March 25, 2019 to March 31, 2019 Residential Permit Intakes",B,2,,2019-04-01 16:13:18 UTC,2019-04-01 16:13:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/727347
